ticker,company,datetime,text
TSLA,"Tesla, Inc.",2022-09-29 23:41:16+00:00,"Mainstream media has done an amazing job at brainwashing people. Today at work, we were asked what companies we believe in &amp; I said @Tesla because they make the safest cars &amp; EVERYONE disagreed with me because they heard“they catch on fire &amp; the batteries cost 20k to replace”"
TSLA,"Tesla, Inc.",2022-09-29 23:24:43+00:00,Tesla delivery estimates are at around 364k from the analysts. $tsla
TSLA,"Tesla, Inc.",2022-09-29 23:18:08+00:00,"3/ Even if I include 63.0M unvested RSUs as of 6/30, additional equity needed for the RSUs is 63.0M x $54.20 = $3.4B. If the deal closed tomorrow at $54.20, Elon would need $2.0B for existing shares plus $3.4B for RSUs, so $5.4B new equity. $twtr $tsla"
PYPL,"PayPal Holdings, Inc.",2022-09-29 22:55:15+00:00,"High quality businesses such as $ADBE $GOOGL $MA $META $MSFT $NKE $PYPL $V are now trading between 1-1.25X NTM PEG ratio! 

These stocks might decline some more over the near-term, but IMHO that will be a gift for long-term investors. 

*This isn't a recommendation, do own DD."
PG,Procter & Gamble Company,2022-09-29 22:40:47+00:00,"A group of lawmakers led by Sen. Elizabeth Warren (D-Mass.) is asking the Federal Trade Commission to reject Amazon's, $AMZN, proposed acquisition of iRobot, per a letter shared first with Axios."
MSFT,Microsoft Corporation,2022-09-29 22:40:47+00:00,"A group of lawmakers led by Sen. Elizabeth Warren (D-Mass.) is asking the Federal Trade Commission to reject Amazon's, $AMZN, proposed acquisition of iRobot, per a letter shared first with Axios."
AMZN,"Amazon.com, Inc.",2022-09-29 22:40:47+00:00,"A group of lawmakers led by Sen. Elizabeth Warren (D-Mass.) is asking the Federal Trade Commission to reject Amazon's, $AMZN, proposed acquisition of iRobot, per a letter shared first with Axios."
TSLA,"Tesla, Inc.",2022-09-29 22:40:07+00:00,"@RealDanODowd @WholeMarsBlog @Tesla Hahaha why are you still trying to stop Tesla FSD bro! Get your shit together and make something better? Thats how companies work, they competed. Crying big old ass fart clown!"
TSLA,"Tesla, Inc.",2022-09-29 22:27:05+00:00,"@RealDanODowd @Tesla Stop trying to kill kids, you sad deranged old man"
PG,Procter & Gamble Company,2022-09-29 22:23:54+00:00,"$NIO just because I'm down money doesn't mean this is a bad investment. The whole market, everything sucks right now. 2-5 years from now, I'm confident it will pay off. Long the best $AAPL $AMZN $TSLA $GOOGL $NIO"
